provincias,media_indice_de_desarrollo_humano
AZUAY,0.801
BOLÍVAR,0.712333333
CARCHI,0.735333333
CAÑAR,0.736666667
CHIMBORAZO,0.725666667
COTOPAXI,0.776333333
EL ORO,0.797333333
ESMERALDAS,0.771
GALÁPAGOS,0.832
GUAYAS,0.789333333
IMBABURA,0.744333333
LOJA,0.813
LOS RÍOS,0.751333333
MANABÍ,0.778666667
MORONA SANTIAGO,0.769666667
NAPO,0.775333333
ORELLANA,0.752333333
PASTAZA,0.774
PICHINCHA,0.850333333
SANTA ELENA,0.741
SANTO DOMINGO DE LOS TSÁCHILAS,0.742666667
SUCUMBÍOS,0.759333333
TUNGURAHUA,0.780333333
ZAMORA CHINCHIPE,0.742666667
