provincias,tasa_asistencia_educacion_basica,tasa_asistencia_bachillerato
AZUAY,91.6,79.5
BOLÍVAR,94.1,81.9
CARCHI,92.9,78.4
CAÑAR,93.1,77.1
CHIMBORAZO,93.7,82
COTOPAXI,93.8,81.3
EL ORO,91,78.8
ESMERALDAS,91,73.8
GALÁPAGOS,95.2,88.4
GUAYAS,88.4,75.9
IMBABURA,94.2,81.4
LOJA,94.5,80.8
LOS RÍOS,89.8,75.2
MANABÍ,93,81.3
MORONA SANTIAGO,93.6,73.5
NAPO,94.1,80.2
ORELLANA,94,76.1
PASTAZA,94.6,79.4
PICHINCHA,91.4,81.8
SANTA ELENA,94.2,80.7
SANTO DOMINGO DE LOS TSÁCHILAS,89.4,77.1
SUCUMBÍOS,93.1,78.3
TUNGURAHUA,93.7,81.6
ZAMORA CHINCHIPE,93.5,77.5
