AÑO,PROVINCIA,CASOS,CLORHIDRATO DE COCAÍNA,HEROÍNA,MARIHUANA,PASTA BASE DE COCAÍNA,TOTAL DROGAS KG.
2023,AZUAY,0.00,0.63,0.00,13.21,9.34,23.18
2023,BOLIVAR,0.00,0.02,0.00,2.38,1.06,3.45
2023,CAÑAR,0.00,0.44,0.01,6.92,2.02,9.39
2023,CARCHI,0.00,161.18,52.35,2508.84,31.10,2753.47
2023,CHIMBORAZO,0.00,2.34,0.00,40.42,21.07,63.83
2023,COTOPAXI,0.00,0.55,0.00,14.30,12.78,27.63
2023,EL ORO,0.00,57.85,0.00,209.78,25.69,293.31
2023,ESMERALDAS,0.00,327.67,0.00,4656.29,307.39,5291.35
2023,FRANCISCO DE ORELLANA,0.00,0.02,0.00,32.42,25.25,57.69
2023,GALAPAGOS,0.00,1.89,0.00,1.36,0.19,3.43
2023,GUAYAS,0.00,315.56,65.59,2142.20,202.62,2725.96
2023,IMBABURA,0.00,14.30,0.07,797.12,38.96,850.44
2023,LOJA,0.00,4.64,0.00,69.87,49.59,124.10
2023,LOS RIOS,0.00,12.00,20.06,994.71,71.62,1098.39
2023,MANABI,0.00,30.40,0.84,343.29,75.01,449.54
2023,MORONA SANTIAGO,0.00,0.47,0.00,37.55,9.89,47.91
2023,NAPO,0.00,37.34,3.99,98.97,221.11,361.41
2023,PASTAZA,0.00,0.00,0.00,314.36,113.25,427.61
2023,PICHINCHA,0.00,5.47,0.04,1357.73,204.41,1567.64
2023,SANTA ELENA,0.00,0.00,4.05,144.65,19.50,168.21
2023,SANTO DOMINGO DE LOS TSACHILAS,0.00,14.01,0.00,773.32,84.20,871.53
2023,SUCUMBIOS,0.00,19.24,0.00,112.82,80.73,212.79
2023,TUNGURAHUA,0.00,0.55,0.00,95.19,50.32,146.06
2023,ZAMORA CHINCHIPE,0.00,0.06,0.00,15.98,22.48,38.51
2023,.TOTAL NACIONAL,,1006.64,147.00,14783.66,1679.57,17616.88
2022,AZUAY,214.00,6.21,0.00,69.44,12.57,88.23
2022,BOLÍVAR,46.00,0.02,0.00,8.71,1.25,9.98
2022,CAÑAR,121.00,0.04,0.02,5.99,12.17,18.22
2022,CARCHI,301.00,124.99,12.65,2235.95,11.10,2384.69
2022,CHIMBORAZO,129.00,0.97,0.00,73.23,6.38,80.57
2022,COTOPAXI,135.00,0.08,0.00,37.26,10.41,47.75
2022,EL ORO,404.00,187.82,0.00,179.90,39.40,407.12
2022,ESMERALDAS,461.00,146.28,0.00,1905.91,66.60,2118.80
2022,GALÁPAGOS,44.00,25.53,0.00,3.16,2.56,31.25
2022,GUAYAS,3548.00,491.29,144.06,1144.89,200.64,1980.88
2022,IMBABURA,274.00,75.13,6.76,1589.40,82.60,1753.89
2022,LOJA,205.00,2.48,0.00,104.03,17.46,123.97
2022,LOS RÍOS,391.00,0.02,1.25,468.70,172.33,642.30
2022,MANABÍ,647.00,355.78,0.29,442.39,57.78,856.24
2022,MORONA SANTIAGO,81.00,0.45,0.00,14.17,4.11,18.74
2022,NAPO,117.00,0.35,1.92,218.95,430.52,651.74
2022,ORELLANA,95.00,3.96,0.00,6.92,6.46,17.35
2022,PASTAZA,106.00,113.51,0.00,45.50,153.50,312.52
2022,PICHINCHA,1328.00,3.19,0.01,1709.85,158.52,1871.57
2022,SANTA ELENA,240.00,0.00,4.01,33.33,14.84,52.18
2022,SANTO DOMINGO DE LOS TSÁCHILAS,408.00,1.28,0.00,202.17,41.97,245.42
2022,SUCUMBÍOS,147.00,2.31,0.01,135.46,35.11,172.90
2022,TUNGURAHUA,200.00,1.43,0.00,19.62,17.96,39.01
2022,ZAMORA CHINCHIPE,47.00,0.00,0.00,2.50,6.31,8.81
2022,.TOTAL NACIONAL,9689.00,1543.14,170.99,10657.46,1562.55,13934.13
2021,AZUAY,139.00,2.76,0.00,196.76,12.56,212.10
2021,BOLÍVAR,43.00,0.00,0.00,9.55,0.33,9.90
2021,CAÑAR,125.00,0.02,0.00,6.63,7.77,14.40
2021,CARCHI,308.00,555.78,103.65,2388.62,26.68,3074.70
2021,CHIMBORAZO,146.00,0.09,0.00,43.73,9.56,53.40
2021,COTOPAXI,150.00,0.65,0.00,18.58,8.42,27.60
2021,EL ORO,415.00,45.25,0.00,1284.71,26.70,1356.70
2021,ESMERALDAS,386.00,103.00,0.00,2889.89,43.22,3036.10
2021,GALÁPAGOS,57.00,0.64,0.00,4.74,1.71,7.10
2021,GUAYAS,4008.00,492.23,108.49,1475.25,413.65,2489.60
2021,IMBABURA,252.00,84.10,31.50,548.88,14.42,678.90
2021,LOJA,185.00,0.32,0.00,244.53,29.72,274.60
2021,LOS RÍOS,506.00,17.61,12.13,329.61,53.03,412.40
2021,MANABÍ,640.00,28.69,0.39,584.78,62.11,676.00
2021,MORONA SANTIAGO,95.00,0.00,0.00,9.77,4.83,14.60
2021,NAPO,106.00,0.98,0.00,174.00,245.69,420.70
2021,ORELLANA,72.00,0.24,0.03,28.67,262.70,291.60
2021,PASTAZA,90.00,0.12,0.00,5.99,1.85,8.00
2021,PICHINCHA,1457.00,17.64,0.00,2254.90,153.72,2426.30
2021,SANTA ELENA,176.00,0.25,3.18,8.75,12.09,24.30
2021,SANTO DOMINGO DE LOS TSÁCHILAS,417.00,98.41,0.08,836.84,31.69,967.00
2021,SUCUMBÍOS,123.00,4.81,0.00,65.91,161.88,232.60
2021,TUNGURAHUA,253.00,12.10,0.00,1177.46,20.48,1210.00
2021,ZAMORA CHINCHIPE,41.00,0.02,1.44,4.80,16.81,23.10
2021,.TOTAL NACIONAL,10190.00,1465.73,260.90,14593.37,1621.61,17941.60
2020,AZUAY,203.00,0.77,0.00,64.88,17.40,83.00
2020,BOLÍVAR,49.00,0.00,0.00,3.26,61.59,64.90
2020,CAÑAR,88.00,3.06,0.01,9.69,25.69,38.40
2020,CARCHI,315.00,68.68,166.20,5289.64,114.64,5639.10
2020,CHIMBORAZO,126.00,0.07,0.00,28.44,7.72,36.20
2020,COTOPAXI,116.00,0.00,0.00,16.91,13.33,30.20
2020,EL ORO,367.00,161.85,0.00,258.17,12.54,432.50
2020,ESMERALDAS,423.00,140.82,0.00,2283.76,82.00,2506.60
2020,GALÁPAGOS,33.00,23.32,0.00,2.92,0.44,26.70
2020,GUAYAS,3272.00,138.34,155.66,1734.54,148.64,2177.20
2020,IMBABURA,231.00,1.88,16.28,394.80,22.93,435.90
2020,LOJA,173.00,0.00,0.00,166.80,14.14,180.90
2020,LOS RÍOS,508.00,67.20,57.20,366.46,75.14,566.00
2020,MANABÍ,664.00,524.83,0.76,862.64,131.39,1519.60
2020,MORONA SANTIAGO,79.00,0.00,0.00,13.72,4.80,18.50
2020,NAPO,103.00,0.66,0.00,255.74,82.00,338.40
2020,ORELLANA,71.00,0.02,0.00,14.70,1.22,15.90
2020,PASTAZA,83.00,72.62,0.00,21.95,97.39,192.00
2020,PICHINCHA,1348.00,113.20,2.98,2686.27,368.97,3171.40
2020,SANTA ELENA,140.00,0.00,1.73,3.60,1.92,7.30
2020,SANTO DOMINGO DE LOS TSÁCHILAS,362.00,24.31,0.00,179.00,89.12,292.40
2020,SUCUMBÍOS,137.00,182.96,0.04,121.67,160.72,465.40
2020,TUNGURAHUA,219.00,0.41,0.00,52.83,26.01,79.20
2020,ZAMORA CHINCHIPE,42.00,0.01,0.00,2.86,3.57,6.40
2020,TOTAL NACIONAL,9152.00,1524.99,400.86,14835.26,1563.31,18324.40
2019,AZUAY,0.00,10.70,0.00,255.96,52.98,319.60
2019,BOLÍVAR,0.00,0.00,0.00,1.08,0.79,1.90
2019,CAÑAR,0.00,0.24,0.00,4.63,2.38,7.20
2019,CARCHI,0.00,107.37,177.18,1947.74,94.20,2326.50
2019,CHIMBORAZO,0.00,0.12,0.00,16.71,10.81,27.60
2019,COTOPAXI,0.00,0.00,0.01,7.98,12.70,20.70
2019,EL ORO,0.00,9.23,0.00,805.31,34.91,849.50
2019,ESMERALDAS,0.00,24.41,0.00,2279.17,78.43,2382.00
2019,GALÁPAGOS,0.00,2.42,0.00,11.44,1.16,15.00
2019,GUAYAS,0.00,298.11,65.03,3107.97,156.80,3627.90
2019,IMBABURA,0.00,5.10,29.71,990.20,26.16,1051.20
2019,LOJA,0.00,0.02,0.00,509.51,19.14,528.70
2019,LOS RÍOS,0.00,0.44,0.71,443.43,38.08,482.70
2019,MANABÍ,0.00,6.62,0.79,519.56,100.78,627.80
2019,MORONA SANTIAGO,0.00,0.00,0.00,351.68,0.97,352.60
2019,NAPO,0.00,2.24,0.00,95.78,108.31,206.30
2019,ORELLANA,0.00,6.61,0.00,27.61,6.58,40.80
2019,PASTAZA,0.00,1.56,0.00,126.32,64.32,192.20
2019,PICHINCHA,0.00,2.99,2.15,1485.75,112.88,1603.80
2019,SANTA ELENA,0.00,0.01,10.08,25.14,11.21,46.40
2019,SANTO DOMINGO DE LOS TSÁCHILAS,0.00,0.99,0.00,412.93,33.00,446.90
2019,SUCUMBÍOS,0.00,17.22,0.01,540.27,87.79,645.30
2019,TUNGURAHUA,0.00,0.54,0.00,32.20,9.14,41.90
2019,ZAMORA CHINCHIPE,0.00,0.00,0.00,0.89,3.11,4.00
2019,.TOTAL NACIONAL,0.00,496.95,285.68,13999.24,1066.61,15848.50
